name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	waypoints
a001	248	v1	v2	52	-165	-0.3614116,50.8329659,0 -0.3612185,50.8330607,0 -0.35918,50.8344837,0 -0.3591156,50.8346328,0
a002	366	v2	v3	-16	-174	-0.3591156,50.8346328,0 -0.3594375,50.8353239,0 -0.3595233,50.8356491,0 -0.359652,50.8364622,0 -0.359695,50.8368688,0 -0.3595018,50.8375057,0 -0.3594375,50.8378715,0
a003	358	v2	v4	83	-84	-0.3591156,50.8346328,0 -0.3578067,50.8347412,0 -0.357399,50.8347683,0 -0.356884,50.8349038,0 -0.356369,50.8348767,0 -0.3540945,50.8347141,0
a004	99	v5	v3	-170	-34	-0.3597164,50.8386846,0 -0.3598237,50.8383052,0 -0.3597164,50.838129,0 -0.3594375,50.8378715,0
a005	379	v3	v6	92	-86	-0.3594375,50.8378715,0 -0.357914,50.8378309,0 -0.3567123,50.8378715,0 -0.3540516,50.8377631,0
a006	229	v4	v7	3	-179	-0.3540945,50.8347141,0 -0.354073,50.8350122,0 -0.3545237,50.8350529,0 -0.3544593,50.835473,0 -0.3543091,50.835866,0 -0.3542233,50.8362454,0 -0.3542125,50.8365096,0
a007	283	v8	v9	29	166	-0.3521848,50.8346192,0 -0.3518414,50.8350122,0 -0.3517556,50.8352968,0 -0.3517556,50.8359202,0 -0.3516912,50.8365571,0 -0.3512836,50.8366248,0 -0.3513908,50.8368959,0
a008	183	v6	v10	91	-85	-0.3540516,50.8377631,0 -0.3523993,50.837736,0 -0.3514552,50.8376818,0
a009	91	v9	v10	-21	-164	-0.3513908,50.8368959,0 -0.3515625,50.8371804,0 -0.3515625,50.8374515,0 -0.3514552,50.8376818,0
a010	322	v9	v11	81	-100	-0.3513908,50.8368959,0 -0.3499746,50.8370449,0 -0.3481507,50.8372211,0 -0.346874,50.8373701,0
a011	49	v10	v12	11	-169	-0.3514552,50.8376818,0 -0.3513265,50.8381154,0
a012	430	v12	v13	97	-7	-0.3513265,50.8381154,0 -0.3486657,50.8379122,0 -0.346992,50.8377902,0 -0.3455758,50.8377496,0 -0.3455329,50.8375328,0
a013	206	v13	v14	77	-92	-0.3455329,50.8375328,0 -0.3443098,50.8377089,0 -0.3433657,50.8377902,0 -0.3426361,50.8378038,0
a014	359	v15	v8	-90	105	-0.3471315,50.8343211,0 -0.3478718,50.8343211,0 -0.3507471,50.8343753,0 -0.3521848,50.8346192,0
a015	315	v14	v16	-12	-172	-0.3426361,50.8378038,0 -0.3427219,50.8380612,0 -0.3426576,50.8382239,0 -0.3424644,50.8386981,0 -0.3422284,50.8393621,0 -0.3420997,50.8396602,0 -0.3420782,50.8402022,0 -0.3419924,50.8405816,0
a016	652	v17	v18	94	171	-0.3404045,50.8432645,0 -0.3398037,50.8432374,0 -0.3387094,50.8431696,0 -0.3369498,50.8430748,0 -0.3354478,50.8429664,0 -0.3332162,50.8428444,0 -0.332036,50.8427225,0 -0.3320146,50.8429122,0 -0.3321004,50.8432645,0
a017	55	v17	v19	-17	163	-0.3404045,50.8432645,0 -0.3406405,50.8437387,0
a018	375	v17	v16	-175	106	-0.3404045,50.8432645,0 -0.340426,50.8430951,0 -0.3403616,50.8428038,0 -0.3403616,50.8426412,0 -0.340308,50.8411372,0 -0.3405225,50.841022,0 -0.3416169,50.8406358,0 -0.34181,50.8405478,0 -0.3419924,50.8405816,0
a019	599	v20	v19	140	36	-0.3432584,50.8483994,0 -0.3427005,50.8479794,0 -0.3415632,50.8471394,0 -0.3407907,50.8465162,0 -0.3405333,50.8462452,0 -0.3405333,50.8460014,0 -0.3408122,50.8455949,0 -0.3409624,50.8452697,0 -0.3408766,50.8449039,0 -0.3406191,50.8442265,0 -0.3404689,50.8438877,0 -0.3406405,50.8437387,0
a020	156	v19	v21	-69	110	-0.3406405,50.8437387,0 -0.34078,50.8437726,0 -0.3425395,50.8437116,0 -0.3428292,50.8437793,0
a021	104	v18	v22	83	-86	-0.3321004,50.8432645,0 -0.3313494,50.8433187,0 -0.3306198,50.8432882,0
a022	591	v23	v24	94	-139	-0.3284311,50.8429257,0 -0.3278732,50.8428986,0 -0.3268433,50.8429528,0 -0.3248906,50.8428851,0 -0.3232598,50.8428851,0 -0.3229165,50.8428986,0 -0.3222942,50.8432238,0 -0.3217578,50.8434406,0 -0.3210926,50.8437116,0 -0.3206635,50.8440232,0
a023	2066	v24	v25	111	-135	-0.3206635,50.8440232,0 -0.3197622,50.8438064,0 -0.3190112,50.8438742,0 -0.3191185,50.8441587,0 -0.3183889,50.8447955,0 -0.317831,50.8449175,0 -0.3167367,50.847153,0 -0.3162217,50.8474646,0 -0.3159428,50.8475594,0 -0.3156638,50.8477762,0 -0.3151703,50.8479929,0 -0.3149343,50.8483045,0 -0.3141618,50.84928,0 -0.3135824,50.8502012,0 -0.3134966,50.8503638,0 -0.3131747,50.850418,0 -0.3129601,50.8507702,0 -0.3125954,50.8513798,0 -0.312016,50.8518675,0 -0.311265,50.8526126,0 -0.3108573,50.8530867,0 -0.3104496,50.8538046,0 -0.3104067,50.8547529,0 -0.3104496,50.856121,0 -0.3102994,50.8575433,0 -0.309999,50.8580986,0 -0.3096557,50.8586404,0 -0.3096557,50.8588165,0 -0.3089046,50.8592906,0
a024	760	v26	v27	139	-51	-0.3329372,50.8512985,0 -0.3321862,50.8507566,0 -0.3313279,50.8502283,0 -0.3297615,50.8492529,0 -0.3284526,50.8483452,0 -0.3277016,50.8479929,0 -0.3269291,50.8475865,0 -0.3253627,50.8468549,0 -0.325014,50.8466771,0
a025	817	v28	v29	105	25	-0.3330231,50.8503096,0 -0.3323793,50.8502012,0 -0.3317142,50.8499167,0 -0.3304696,50.8491851,0 -0.3286457,50.8481826,0 -0.3278518,50.8476678,0 -0.3266501,50.8468007,0 -0.3262424,50.8464349,0 -0.3259635,50.8461775,0 -0.3264356,50.8457033,0 -0.3268647,50.8451342,0
a026	518	v28	v30	-173	0	-0.3330231,50.8503096,0 -0.3331089,50.8498896,0 -0.333066,50.8493342,0 -0.3329802,50.8489277,0 -0.3327656,50.8484942,0 -0.3325939,50.8480878,0 -0.3325081,50.8477355,0 -0.3323579,50.8472072,0 -0.3322721,50.8470039,0 -0.3319716,50.8461097,0 -0.3319716,50.8457304,0
a027	1985	v25	v31	93	90	-0.3089046,50.8592906,0 -0.3085399,50.859277,0 -0.3083038,50.8594125,0 -0.3083253,50.859575,0 -0.3090978,50.8598323,0 -0.3091192,50.8600491,0 -0.308733,50.8600626,0 -0.3081536,50.8599272,0 -0.307703,50.8599949,0 -0.3063083,50.860645,0 -0.3070593,50.8611597,0 -0.3074241,50.8613628,0 -0.3076386,50.861715,0 -0.3076386,50.8622297,0 -0.3074884,50.8625547,0 -0.3073812,50.8638955,0 -0.3075528,50.8656832,0 -0.3076601,50.8662249,0 -0.3075957,50.8670781,0 -0.3071022,50.8679177,0 -0.3068233,50.8683781,0 -0.3066945,50.8691365,0 -0.3062439,50.8700302,0 -0.3057289,50.8707073,0 -0.3052139,50.8711271,0 -0.3052783,50.8713167,0 -0.3065014,50.8718989,0 -0.3071237,50.8720208,0 -0.3078318,50.8723052,0 -0.3083682,50.8725895,0 -0.308733,50.872752,0 -0.3090549,50.8728603,0 -0.309484,50.8728603,0
a028	2417	v25	v32	-68	90	-0.3089046,50.8592906,0 -0.309484,50.8594395,0 -0.309999,50.859575,0 -0.3105783,50.859724,0 -0.310986,50.8597646,0 -0.3124022,50.8598323,0 -0.3139687,50.859873,0 -0.3142047,50.8599272,0 -0.3159213,50.8601439,0 -0.3162217,50.8602116,0 -0.3175092,50.8607398,0 -0.3183675,50.8611732,0 -0.3189468,50.8614577,0 -0.3194833,50.8617421,0 -0.3215003,50.862013,0 -0.3219295,50.8619046,0 -0.3273582,50.8608753,0 -0.3282166,50.860645,0 -0.3322291,50.8599272,0 -0.336349,50.8592499,0 -0.3377867,50.8590468,0 -0.3388596,50.859277,0 -0.3397393,50.8594531,0 -0.3410697,50.8594666,0 -0.3414989,50.8594666,0
a029	41	v32	v33	138	-42	-0.3414989,50.8594666,0 -0.3411126,50.8591957,0
a030	81	v33	v34	-166	14	-0.3411126,50.8591957,0 -0.3413916,50.8584914,0
a031	153	v34	v35	-95	85	-0.3413916,50.8584914,0 -0.3435588,50.8583831,0
a032	141	v32	v36	-84	96	-0.3414989,50.8594666,0 -0.3434944,50.8596021,0
a033	169	v34	v37	-177	3	-0.3413916,50.8584914,0 -0.3415203,50.8569744,0
a034	208	v37	v38	54	-119	-0.3415203,50.8569744,0 -0.3409624,50.8572317,0 -0.3404689,50.8573943,0 -0.3395891,50.85776,0 -0.3390098,50.8579632,0
a035	764	v39	v40	142	-56	-0.3411126,50.8557282,0 -0.3406191,50.8553353,0 -0.3400612,50.8549967,0 -0.3395462,50.8546174,0 -0.3391171,50.8541568,0 -0.3383875,50.8536963,0 -0.3374219,50.8531273,0 -0.3361988,50.8524906,0 -0.3357482,50.8522062,0 -0.3349328,50.8518675,0 -0.3337312,50.8511766,0 -0.3333235,50.8510005,0
a036	203	v33	v38	131	-38	-0.3411126,50.8591957,0 -0.3406191,50.8589249,0 -0.3403187,50.8588165,0 -0.3396106,50.8584508,0 -0.3390098,50.8579632,0
a037	870	v38	v26	158	-33	-0.3390098,50.8579632,0 -0.3387094,50.8575026,0 -0.3384948,50.8571098,0 -0.3382802,50.8566493,0 -0.3381515,50.8561075,0 -0.3379583,50.8556469,0 -0.3377438,50.8553895,0 -0.3372931,50.854929,0 -0.3367567,50.854482,0 -0.3358984,50.853913,0 -0.3349543,50.853317,0 -0.3343534,50.8527209,0 -0.3334522,50.8517998,0 -0.3329372,50.8512985,0
a038	43	v26	v40	-141	39	-0.3329372,50.8512985,0 -0.3333235,50.8510005,0
a039	82	v40	v28	176	-29	-0.3333235,50.8510005,0 -0.3332806,50.8506076,0 -0.3330231,50.8503096,0
a040	572	v28	v41	-63	51	-0.3330231,50.8503096,0 -0.3334522,50.8504451,0 -0.3344607,50.8506076,0 -0.3354049,50.850716,0 -0.3364348,50.850716,0 -0.3375721,50.850716,0 -0.3385162,50.8507025,0 -0.3393745,50.8505128,0 -0.3401899,50.8502012,0 -0.3407264,50.8499269,0
a041	1236	v35	v42	-148	10	-0.3435588,50.8583831,0 -0.3440952,50.8578413,0 -0.3446102,50.8569744,0 -0.3451252,50.8563784,0 -0.345726,50.8557011,0 -0.3459406,50.8551322,0 -0.3458118,50.854211,0 -0.345211,50.8533441,0 -0.3450394,50.8524229,0 -0.3450394,50.8517727,0 -0.3450823,50.8508515,0 -0.3450823,50.8502012,0 -0.3444386,50.8493613,0 -0.3441381,50.8486026,0 -0.3443527,50.8478439,0
a042	107	v20	v42	-82	43	-0.3432584,50.8483994,0 -0.3435588,50.8484265,0 -0.3439879,50.8480878,0 -0.3443527,50.8478439,0
a043	291	v42	v43	180	-3	-0.3443527,50.8478439,0 -0.3443527,50.8476271,0 -0.3441811,50.8470446,0 -0.3441811,50.8465839,0 -0.3441381,50.8462588,0 -0.3440738,50.8458117,0 -0.3440309,50.8452426,0
a044	185	v43	v21	167	-33	-0.3440309,50.8452426,0 -0.3439021,50.8448904,0 -0.3436232,50.8445652,0 -0.3433228,50.8443349,0 -0.3430223,50.843969,0 -0.3428292,50.8437793,0
a045	361	v16	v21	-11	162	-0.3419924,50.8405816,0 -0.3421211,50.8410152,0 -0.342164,50.841232,0 -0.3422499,50.8415166,0 -0.3422928,50.8417605,0 -0.3424215,50.8422754,0 -0.3424644,50.8427089,0 -0.3425503,50.8429664,0 -0.3426147,50.8432916,0 -0.342679,50.8434948,0 -0.3428292,50.8437793,0
a046	1225	v44	v12	161	3	-0.3484297,50.846882,0 -0.3481507,50.8463672,0 -0.3479362,50.8458523,0 -0.3475499,50.8452291,0 -0.3473353,50.8448091,0 -0.3470778,50.84424,0 -0.3469062,50.8437387,0 -0.3467989,50.8431967,0 -0.3466272,50.8427767,0 -0.3461552,50.8421399,0 -0.3460693,50.8418418,0 -0.3462625,50.8413404,0 -0.3466702,50.8410288,0 -0.347271,50.8406494,0 -0.3477645,50.8404868,0 -0.3489017,50.8403242,0 -0.3501034,50.8401345,0 -0.3507042,50.8400125,0 -0.3511333,50.839728,0 -0.3512406,50.8392944,0 -0.3513265,50.8381154,0
a047	375	v44	v43	110	-87	-0.3484297,50.846882,0 -0.348022,50.8467872,0 -0.3477645,50.8465568,0 -0.3469706,50.8461775,0 -0.3460693,50.845622,0 -0.3455329,50.845351,0 -0.3447819,50.8452697,0 -0.3440309,50.8452426,0
a048	751	v44	v45	-13	165	-0.3484297,50.846882,0 -0.3486013,50.8473697,0 -0.3488159,50.8476813,0 -0.3493524,50.848562,0 -0.3497171,50.8491039,0 -0.3502107,50.8497677,0 -0.3503823,50.8501877,0 -0.3506398,50.8504451,0 -0.3509831,50.8507566,0 -0.3512406,50.8512714,0 -0.3516269,50.8524365,0 -0.3519487,50.8532086,0
a049	827	v45	v46	5	-167	-0.3519487,50.8532086,0 -0.3519273,50.8533712,0 -0.3514767,50.8537911,0 -0.3504896,50.8543736,0 -0.3495455,50.8548748,0 -0.3493309,50.8551186,0 -0.3495669,50.8555927,0 -0.3500819,50.8563106,0 -0.3504896,50.8570963,0 -0.3506827,50.8577058,0 -0.3507257,50.8581663,0 -0.3506613,50.8586675,0 -0.3505325,50.8593176,0 -0.3503609,50.8598053,0
a050	1112	v47	v48	180	-31	-0.3573346,50.8608888,0 -0.3573346,50.8606992,0 -0.3575921,50.8602387,0 -0.3580213,50.8593854,0 -0.3593087,50.8569744,0 -0.3595233,50.8564867,0 -0.3592443,50.8563377,0 -0.3589869,50.8562429,0 -0.3583431,50.8562565,0 -0.3575921,50.8560262,0 -0.3566051,50.8555927,0 -0.3561974,50.8552541,0 -0.3551459,50.8544413,0 -0.3539228,50.8534118,0 -0.3535151,50.8529783,0
a051	116	v45	v48	-82	80	-0.3519487,50.8532086,0 -0.3522706,50.8532357,0 -0.3529143,50.8530461,0 -0.3535151,50.8529783,0
a052	418	v48	v49	-105	-25	-0.3535151,50.8529783,0 -0.353837,50.8529241,0 -0.3539658,50.8527887,0 -0.3543091,50.8522739,0 -0.3546095,50.8519623,0 -0.3546953,50.851583,0 -0.3548455,50.8511901,0 -0.3550601,50.8508108,0 -0.3555751,50.850296,0 -0.3559399,50.8499167,0 -0.3557897,50.8497135,0
a053	399	v49	v50	153	59	-0.3557897,50.8497135,0 -0.355382,50.8492122,0 -0.3551459,50.84886,0 -0.354867,50.8486432,0 -0.3547812,50.8481013,0 -0.3548026,50.8477355,0 -0.3549957,50.8474917,0 -0.3551888,50.8472072,0 -0.3554034,50.8469904,0 -0.355854,50.8468278,0 -0.3562403,50.8466788,0
a054	215	v50	v51	-137	21	-0.3562403,50.8466788,0 -0.3566051,50.8464349,0 -0.3567123,50.8462181,0 -0.3568625,50.8458117,0 -0.3569055,50.8453781,0 -0.3569913,50.8450529,0 -0.3570986,50.8448768,0
a055	1342	v52	v50	135	-5	-0.3672266,50.8560668,0 -0.3663254,50.8554979,0 -0.3656602,50.8552134,0 -0.364995,50.8548748,0 -0.3643513,50.8544684,0 -0.3634715,50.854211,0 -0.3625917,50.8538453,0 -0.3620124,50.8533305,0 -0.3617549,50.8528699,0 -0.3614974,50.8523823,0 -0.3611541,50.8520842,0 -0.3603387,50.8515424,0 -0.3597379,50.8504992,0 -0.3591156,50.8499032,0 -0.3585577,50.8490903,0 -0.3581929,50.8487787,0 -0.3570986,50.84802,0 -0.3564119,50.847451,0 -0.3562832,50.8469768,0 -0.3562403,50.8466788,0
a056	1506	v53	v49	112	-111	-0.3676343,50.8602251,0 -0.367012,50.8600626,0 -0.36654,50.8596156,0 -0.3659821,50.8590197,0 -0.3654242,50.8584779,0 -0.3649735,50.8580851,0 -0.3642654,50.8574755,0 -0.3636432,50.8570015,0 -0.3629351,50.8565138,0 -0.3623128,50.8559991,0 -0.3617978,50.8557146,0 -0.3608751,50.8551999,0 -0.3604245,50.8546445,0 -0.3602743,50.854211,0 -0.3598881,50.8534389,0 -0.3598452,50.8530461,0 -0.3594589,50.8523552,0 -0.3589654,50.8516643,0 -0.3586006,50.8512579,0 -0.3582788,50.8506483,0 -0.3577852,50.8502283,0 -0.3567553,50.8497812,0 -0.3562832,50.8495916,0 -0.3557897,50.8497135,0
a057	999	v51	v6	157	6	-0.3570986,50.8448768,0 -0.3566051,50.8441452,0 -0.3563905,50.8437251,0 -0.3561544,50.8431832,0 -0.3560257,50.8429935,0 -0.356133,50.8424922,0 -0.3554249,50.8424244,0 -0.3540087,50.8423973,0 -0.3534937,50.8423838,0 -0.3536868,50.8418011,0 -0.3537512,50.8409339,0 -0.3538585,50.8400938,0 -0.3538585,50.8395789,0 -0.3536224,50.8395383,0 -0.3538156,50.8394028,0 -0.3538585,50.8388472,0 -0.3539658,50.8383187,0 -0.3540516,50.8377631,0
a058	749	v51	v5	-140	13	-0.3570986,50.8448768,0 -0.3574204,50.8446329,0 -0.3579783,50.8443078,0 -0.3583431,50.8440774,0 -0.3584719,50.8438471,0 -0.3586435,50.8436168,0 -0.3588581,50.8433187,0 -0.3590941,50.8430341,0 -0.3594589,50.8426276,0 -0.359695,50.8421534,0 -0.3598452,50.8417334,0 -0.3598237,50.8412998,0 -0.3597379,50.8410017,0 -0.3596091,50.8405952,0 -0.3595448,50.8400532,0 -0.3595877,50.8396602,0 -0.3596306,50.8391724,0 -0.3596306,50.8389285,0 -0.3597164,50.8386846,0
a059	632	v5	v54	-95	-22	-0.3597164,50.8386846,0 -0.360682,50.8386304,0 -0.3615832,50.8386575,0 -0.3636861,50.8386304,0 -0.3638792,50.8384136,0 -0.3640294,50.8381967,0 -0.3649306,50.8381425,0 -0.3662395,50.8380748,0 -0.366497,50.8380341,0 -0.36654,50.8374921,0 -0.36654,50.8372075,0 -0.3663683,50.8369365,0
a060	342	v54	v55	142	-7	-0.3663683,50.8369365,0 -0.3658962,50.8365571,0 -0.3655958,50.8362996,0 -0.3653812,50.8358389,0 -0.3653169,50.8354052,0 -0.3651237,50.8352155,0 -0.3648019,50.8349851,0 -0.3645873,50.8347547,0 -0.36448,50.8341991,0
a061	449	v54	v56	-96	-10	-0.3663683,50.8369365,0 -0.3672266,50.8368823,0 -0.3676772,50.836923,0 -0.3680634,50.8368145,0 -0.3680634,50.8363809,0 -0.3679776,50.8359202,0 -0.3678703,50.8357304,0 -0.3679776,50.8353917,0 -0.3678918,50.8351342,0 -0.3674626,50.8351342,0 -0.3674197,50.8348225,0 -0.3672481,50.8341855,0
a062	197	v56	v55	110	-88	-0.3672481,50.8341855,0 -0.3668404,50.8340907,0 -0.3658748,50.8341584,0 -0.3651452,50.8342126,0 -0.36448,50.8341991,0
a063	264	v55	v57	124	-92	-0.36448,50.8341991,0 -0.3639436,50.8339687,0 -0.3631067,50.8338467,0 -0.3628922,50.8337654,0 -0.3628707,50.8332504,0 -0.3627849,50.8329116,0 -0.3623986,50.832871,0 -0.3621411,50.8328778,0
a064	383	v56	v58	171	29	-0.3672481,50.8341855,0 -0.3670979,50.8335893,0 -0.3670979,50.8328168,0 -0.3670979,50.8323424,0 -0.3669691,50.8318817,0 -0.3669906,50.8315293,0 -0.3671622,50.8311227,0 -0.3674304,50.8308178,0
a065	238	v59	v56	88	-96	-0.3706384,50.8340907,0 -0.3694367,50.8341178,0 -0.3678918,50.8341449,0 -0.3672481,50.8341855,0
a066	39	v60	v59	83	-97	-0.3711963,50.83405,0 -0.3706384,50.8340907,0
a067	365	v61	v60	5	168	-0.3703165,50.8308381,0 -0.3702521,50.8312718,0 -0.3704667,50.831719,0 -0.3708744,50.8331149,0 -0.3711963,50.83405,0
a068	356	v62	v63	86	-125	-0.3764105,50.8303502,0 -0.3758526,50.8303773,0 -0.3747153,50.8304586,0 -0.3734708,50.830567,0 -0.3726983,50.8306348,0 -0.3718615,50.830689,0 -0.3715932,50.8308042,0 -0.3714538,50.8308652,0
a069	244	v64	v65	87	-113	-0.3768182,50.8333724,0 -0.3758955,50.8333995,0 -0.374887,50.8334131,0 -0.3740716,50.833535,0 -0.3734279,50.8337112,0
a070	32	v60	v66	-95	85	-0.3711963,50.83405,0 -0.3716469,50.8340229,0
a071	756	v59	v67	-21	179	-0.3706384,50.8340907,0 -0.3708529,50.834443,0 -0.3709173,50.834836,0 -0.3709817,50.8354052,0 -0.3710246,50.836137,0 -0.3711104,50.8366384,0 -0.3712392,50.837072,0 -0.3711319,50.8376954,0 -0.3710675,50.8386033,0 -0.3709173,50.8393757,0 -0.3709173,50.8398364,0 -0.3707457,50.8402835,0 -0.3707671,50.8408255,0
a072	320	v67	v68	-88	122	-0.3707671,50.8408255,0 -0.3712821,50.8408391,0 -0.3718615,50.8407578,0 -0.3727198,50.8407578,0 -0.373621,50.84069,0 -0.3742218,50.8407307,0 -0.3749728,50.8407578,0 -0.3752518,50.8408662,0
a073	543	v67	v69	9	-150	-0.3707671,50.8408255,0 -0.3706384,50.8413404,0 -0.370574,50.8420721,0 -0.3704023,50.8426276,0 -0.3701019,50.8433051,0 -0.3698015,50.8439013,0 -0.3693509,50.8446058,0 -0.3689861,50.8450936,0 -0.3686428,50.845473,0
a074	105	v69	v70	-58	65	-0.3686428,50.845473,0 -0.3696084,50.8458523,0 -0.3699303,50.8457575,0
a075	1101	v69	v71	26	170	-0.3686428,50.845473,0 -0.3682137,50.8460284,0 -0.3679132,50.8464891,0 -0.367806,50.8470446,0 -0.3678274,50.8473155,0 -0.3679991,50.8483045,0 -0.3682566,50.8493342,0 -0.3684497,50.8505534,0 -0.3686213,50.8507973,0 -0.3687286,50.8513392,0 -0.3689432,50.8523687,0 -0.369072,50.8534389,0 -0.3690505,50.8536692,0 -0.3692222,50.8538724,0 -0.369308,50.8547935,0 -0.3694153,50.8551728,0
a076	183	v71	v52	57	-118	-0.3694153,50.8551728,0 -0.3688574,50.8554031,0 -0.3677416,50.8558907,0 -0.3672266,50.8560668,0
a077	34	v52	v72	13	-167	-0.3672266,50.8560668,0 -0.3671193,50.8563648,0
a078	443	v72	v53	15	-164	-0.3671193,50.8563648,0 -0.3669262,50.8568118,0 -0.3672695,50.8574349,0 -0.3676987,50.8581663,0 -0.3678918,50.8589113,0 -0.3677845,50.8599001,0 -0.3676343,50.8602251,0
a079	880	v72	v73	-45	127	-0.3671193,50.8563648,0 -0.367527,50.8566222,0 -0.3680849,50.8570556,0 -0.3683424,50.8573265,0 -0.3689647,50.8577735,0 -0.3692651,50.8581257,0 -0.3696084,50.8584101,0 -0.370059,50.8587894,0 -0.3706384,50.8592228,0 -0.3711748,50.8595885,0 -0.3717113,50.8599678,0 -0.3726339,50.8602522,0 -0.373385,50.8605367,0 -0.3742218,50.8607804,0 -0.3753591,50.8610513,0 -0.3762817,50.8614847,0
a080	671	v74	v75	127	-48	-0.3763461,50.8637059,0 -0.3757453,50.8634215,0 -0.3748012,50.8630016,0 -0.3743291,50.862812,0 -0.3737712,50.8626901,0 -0.3730416,50.8623922,0 -0.3722477,50.8620807,0 -0.3714538,50.8618911,0 -0.3708315,50.8615525,0 -0.3698015,50.8610513,0 -0.3687286,50.8606856,0 -0.3683424,50.8604689,0
